Country,Country.code,Region,GEO,Area,Decline,Population (2018),Land Area (KM2),Area (km2),Density (2018),Prop_sixtyfive,ForeignBornPopulation,Note,Unemploy rate,Note,RU_Class,Altitude,Proximity_Capital,Proximity_UrbanArea (> 1mil),Proximity_UrbanArea (km),Coast,Proximity_Coast,Proximity_Coast(km)
Bulgaria,BG,SE,BG425,Kardzhali,1,151113,3166,3212,48.30638029,16.88658149,1.986159219,,12.9,NUTS 2 level,3,117.9158092,135.9739684,131890.4051,131.8904051,1,0,0
Bulgaria,BG,SE,BG315,Lovech,1,126961,4124,4133,34.32419981,23.26761001,1.346289328,,12.8,NUTS 2 level,2,114.3190154,34.07805505,34078.05505,34.07805505,0,72166.61697,72.16661697
Bulgaria,BG,SE,BG421,Plovdiv,1,669796,5904,5961,115.7347561,18.63184145,1.913011409,,12.9,NUTS 2 level,2,105.4849095,58.10929858,58109.29858,58.10929858,0,0,0
Bulgaria,BG,SE,BG342,Sliven,1,188433,3521,3544,56.13178074,16.84578021,1.353871099,,11.5,NUTS 2 level,2,99.10118377,144.7607089,144760.7089,144.7607089,0,0,0
Bulgaria,BG,SE,BG334,Targovishte,1,112474,2697,2711,44.85724879,18.52289635,1.906382458,,15.4,NUTS 2 level,3,97.96970816,87.04093764,87040.93764,87.04093764,0,6562.046263,6.562046263
Bulgaria,BG,SE,BG344,Stara Zagora,1,319067,5097,5150,65.4298607,19.46200254,1.562189088,,11.5,NUTS 2 level,2,94.52097087,107.1990338,107199.0338,107.1990338,0,0,0
Bulgaria,BG,SE,BG333,Shumen,1,172966,3374,3395,53.55957321,17.62215705,1.742976925,,15.4,NUTS 2 level,2,85.84436599,98.23242821,98232.42821,98.23242821,0,0,0
Bulgaria,BG,SE,BG324,Razgrad,1,113714,2409,2414,52.04192611,17.55936476,1.658545092,,12.8,NUTS 2 level,3,82.67561983,46.6892504,46689.2504,46.6892504,0,13745.75519,13.74575519
Bulgaria,BG,SE,BG312,Montana,1,132214,3576,3629,41.46057047,23.43403277,1.182159233,,12.8,NUTS 2 level,2,81.44621733,24.22588764,24225.88764,24.22588764,0,109321.4799,109.3214799
Bulgaria,BG,SE,BG311,Vidin,1,86927,2988,3035,33.86880857,25.41403162,1.559516232,,12.8,NUTS 2 level,3,80.22408687,69.18019092,69180.19092,69.18019092,0,144363.0638,144.3630638
Bulgaria,BG,SE,BG422,Haskovo,1,231276,5466,5532,45.10318332,20.1132501,1.871765179,,12.9,NUTS 2 level,2,76.97291441,141.1517404,131926.4275,131.9264275,1,0,0
Bulgaria,BG,SE,BG313,Vratsa,1,165645,3581,3620,52.24769617,20.76440815,1.264290342,,12.8,NUTS 2 level,2,74.91894882,15.17479169,15174.79169,15.17479169,0,91311.84545,91.31184545
Bulgaria,BG,SE,BG321,Veliko Tarnovo,1,239132,4623,4661,55.98918451,20.12185228,1.929392249,,12.8,NUTS 2 level,2,72.81079923,90.83718126,90837.18126,90.83718126,0,33964.30622,33.96430622
Bulgaria,BG,SE,BG332,Dobrich,1,176145,4711,4720,40.30184674,17.84875331,3.443315173,,15.4,NUTS 2 level,2,70.96186441,106.0691506,106069.1506,106.0691506,1,0,0
Bulgaria,BG,SE,BG341,Burgas,1,411579,7637,7751,54.4597355,16.15834233,2.960929406,,11.5,NUTS 2 level,2,68.02500644,160.5092552,48069.23574,48.06923574,1,0,0
Bulgaria,BG,SE,BG343,Yambol,1,120470,3339,3356,39.39862234,20.9711749,1.646413171,,11.5,NUTS 2 level,2,66.70835821,186.5673019,107148.0677,107.1480677,1,0,0
Bulgaria,BG,SE,BG331,Varna,0,472120,3778,3822,125.6686077,15.97890374,3.033331945,,15.4,NUTS 2 level,2,60.42842243,129.2889628,143219.5034,143.2195034,1,0,0
Bulgaria,BG,SE,BG323,Ruse,1,221336,2810,2868,83.79964413,20.28181096,1.727283534,,12.8,NUTS 2 level,2,50.65053951,36.37037791,36370.37791,36.37037791,0,58501.04494,58.50104494
Bulgaria,BG,SE,BG325,Silistra,1,110562,2800,2846,42.71214286,19.85133033,2.301319423,,12.8,NUTS 2 level,3,47.45291637,36.90002319,36900.02319,36.90002319,0,0,0
